"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Required","The event name for which the data was collected","","",""
"ddis_scr_script_startdte","Date","","Recommended","Date script was run","","",""
"ddis_scr_script_starttme","String","30","Recommended","Time script was started","","",""
"ddis_scr_subjectid","String","100","Recommended","Subject id number","","",""
"ddis_scr_session","Float","","Recommended","session","","",""
"ddis_scr_script_elaptme","Float","","Recommended","Time it took to run script (in ms)","","",""
"ddis_scr_computer_platform","String","30","Recommended","The platform the script was run on","","",""
"ddis_scr_values_completed","Float","","Recommended","0 = script was not completed (prematurely aborted); 1 = script was completed (all conditions run)","","",""
"ddis_scr_param_delayrewamt","Float","","Recommended","The delayed amount in $ (here: 100)","","",""
"ddis_scr_val_testdelays","String","120","Recommended","A string variable that stores all tested","","",""
"ddis_scr_val_immedcho","Float","","Recommended","values.immediateChoiceValidity. (Added in June 2018) Tally of immediate choices in the three validity questions presented after the ""3months"", ""1year"", and ""5years"" delay  blocks (e.g. ""get $100 NOW"" vs. ""get $100 in 5 years""). Values < 3 indicate some inattentive (or at least irrational) behavior by the participant","","",""
"ddis_scr_val_indif_point_6h","Float","","Recommended","6-hour delay ""indifference point""; The proportion of the maximum ($100) reward that, if presented immediately, was equal in subjective value to the maximum ($100) reward if the subject had to wait 6 h to receive the maximum.","","",""
"ddis_scr_val_indif_pnt_1da","Float","","Recommended","1-day delay ""indifference point""; The proportion of the maximum ($100) reward that, if presented immediately, was equal in subjective value to the maximum ($100) reward if the subject had to wait one day to receive the maximum.","","",""
"ddis_scr_val_indif_pnt_1week","Float","","Recommended","1-week delay ""indifference point""; The proportion of the maximum ($100) reward that, if presented immediately, was equal in subjective value to the maximum ($100) reward if the subject had to wait 1 week to receive the maximum.","","",""
"ddis_scr_val_indif_pnt_1mth","Float","","Recommended","1 month delay ""indifference point""; The proportion of the maximum ($100) reward that, if presented immediately, was equal in subjective value to the maximum ($100) reward if the subject had to wait one month to receive the maximum.","","",""
"ddis_scr_val_indif_pnt_3mth","Float","","Recommended","3 month delay ""indifference point""; The proportion of the maximum ($100) reward that, if presented immediately, was equal in subjective value to the maximum ($100) reward if the subject had to wait three months to receive the maximum.","","",""
"ddis_scr_val_indif_pnt_1yr","Float","","Recommended","1 year delay ""indifference point""; The proportion of the maximum ($100) reward that, if presented immediately, was equal in subjective value to the maximum ($100) reward if the subject had to wait one year to receive the maximum.","","",""
"ddis_scr_val_indif_pnt_5yr","Float","","Recommended","5-year delay ""indifference point""; The proportion of the maximum ($100) reward that, if presented immediately, was equal in subjective value to the maximum ($100) reward if the subject had to wait five years to receive the maximum.","","",""
"ddis_scr_expr_mnrt_allcho","Float","","Recommended","expressions.meanRT_allChoices: mean latency (in ms) of all choices","","",""
"ddis_scr_expr_medrt_allcho","Float","","Recommended","medianRT_allChoices:  median latency (in ms) of all choices","","",""
"ddis_scr_expr_mnrt_immcho","Float","","Recommended","meanRT_immedChoices:  mean latency (in ms) of	'immediate' choices","","",""
"ddis_scr_expr_medrt_immedcho","Float","","Recommended","medianRT_immedChoices:	 median latency (in ms) of 'immediate' choices","","",""
"ddis_scr_expr_mnrt_delaycho","Float","","Recommended","meanRT_delayedChoices: mean latency (in ms) of 'delayed' choices","","",""
"ddis_scr_expr_medrt_delaycho","Float","","Recommended","medianRT_delayedChoices: median latency (in ms) of 'delayed' choices","","",""
