"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eventname","String","60","Required","The event name for which the data was collected","","",""
"eatq_select_language","Integer","","Recommended","_Espa_ol?","0 ; 1","0 = No; 1 = Yes","eatq_phenx_select_language"
"eatq_trouble_p","Integer","","Recommended","Worries about getting into trouble. / Se preocupa acerca de meterse en problemas.","1 :: 5","1=Almost always untrue / Casi siempre falso; 2= Usually untrue / Por lo general falso; 3= Sometimes true sometimes untrue / Algunas veces verdadero algunas veces falso; 4= Usually true / Por lo general verdadero; 5 =Almost always true / Casi siempre verdadero","eatq_phenx_trouble_p"
"eatq_insult_p","Integer","","Recommended","When angry at someone says things s/he knows will hurt that person's feelings. / Cuando se enoja con alguiendice cosas que sabe que herir__n los sentimientos de esa persona..","1 :: 5","1=Almost always untrue / Casi siempre falso; 2= Usually untrue / Por lo general falso; 3= Sometimes true sometimes untrue / Algunas veces verdadero algunas veces falso; 4= Usually true / Por lo general verdadero; 5 =Almost always true / Casi siempre verdadero","eatq_phenx_insult_p"
"eatq_finish_p","Integer","","Recommended","Has a hard time finishing things on time. / Se le dificulta terminar las cosas a tiempo.","5;4;3;2;1","5=Almost always untrue / Casi siempre falso; 4=Usually untrue / Por lo general falso; 3=Sometimes true sometimes untrue / Algunas veces verdadero algunas veces falso; 2=Usually true / Por lo general verdadero; 1= Almost always true / Casi siempre verdadero","eatq_phenx_finish_p"
"eatq_africa_p","Integer","","Recommended","Thinks traveling to Africa or India would be exciting and fun. / Piensa que viajar a __frica o a la India ser__a emocionante y divertido.","1 :: 5","1=Almost always untrue / Casi siempre falso; 2= Usually untrue / Por lo general falso; 3= Sometimes true sometimes untrue / Algunas veces verdadero algunas veces falso; 4= Usually true / Por lo general verdadero; 5 =Almost always true / Casi siempre verdadero","eatq_phenx_africa_p"
"eatq_deal_p","Integer","","Recommended","If having a problem with someone usually tries to deal with it right away. / Si tiene un problema con alguien por lo general trata de resolverlo de inmediato.","1 :: 5","1=Almost always untrue / Casi siempre falso; 2= Usually untrue / Por lo general falso; 3= Sometimes true sometimes untrue / Algunas veces verdadero algunas veces falso; 4= Usually true / Por lo general verdadero; 5 =Almost always true / Casi siempre verdadero","eatq_phenx_deal_p"
"eatq_turn_taking_p","Integer","","Recommended","Has a hard time waiting his/her turn to speak when excited. / Se le dificulta esperar su turno para hablar cuando est__ emocionado/a.","5;4;3;2;1","5=Almost always untrue / Casi siempre falso; 4=Usually untrue / Por lo general falso; 3=Sometimes true sometimes untrue / Algunas veces verdadero algunas veces falso; 2=Usually true / Por lo general verdadero; 1= Almost always true / Casi siempre verdadero","eatq_phenx_turn_taking_p"
"eatq_enjoy_p","Integer","","Recommended","Often does not seem to enjoy things as much as his/her friends. / A menudo no parece disfrutar de las cosas tanto como sus amigos/as.","1 :: 5","1=Almost always untrue / Casi siempre falso; 2= Usually untrue / Por lo general falso; 3= Sometimes true sometimes untrue / Algunas veces verdadero algunas veces falso; 4= Usually true / Por lo general verdadero; 5 =Almost always true / Casi siempre verdadero","eatq_phenx_enjoy_p"
"eatq_open_present_p","Integer","","Recommended","Opens presents before s/he is supposed to. / Abre los regalos antes de que se supone que lo haga.","5;4;3;2;1","5=Almost always untrue / Casi siempre falso; 4=Usually untrue / Por lo general falso; 3=Sometimes true sometimes untrue / Algunas veces verdadero algunas veces falso; 2=Usually true / Por lo general verdadero; 1= Almost always true / Casi siempre verdadero","eatq_phenx_open_present_p"
"eatq_ski_slope_p","Integer","","Recommended","Would be frightened by the thought of skiing fast down a steep slope. / Le asustar__a la idea de esquiar r__pido por una bajada empinada.","5;4;3;2;1","5=Almost always untrue / Casi siempre falso; 4=Usually untrue / Por lo general falso; 3=Sometimes true sometimes untrue / Algunas veces verdadero algunas veces falso; 2=Usually true / Por lo general verdadero; 1= Almost always true / Casi siempre verdadero","eatq_phenx_ski_slope_p"
"eatq_cry_p","Integer","","Recommended","Feels like crying over very little things on some days. / Algunos d__as tiene ganas de llorar por cosas sin importancia.","1 :: 5","1=Almost always untrue / Casi siempre falso; 2= Usually untrue / Por lo general falso; 3= Sometimes true sometimes untrue / Algunas veces verdadero algunas veces falso; 4= Usually true / Por lo general verdadero; 5 =Almost always true / Casi siempre verdadero","eatq_phenx_cry_p"
"eatq_angry_hit_p","Integer","","Recommended","If very angry might hit someone. / Si est__ muy enojado/a podr__a golpear a alguien.","1 :: 5","1=Almost always untrue / Casi siempre falso; 2= Usually untrue / Por lo general falso; 3= Sometimes true sometimes untrue / Algunas veces verdadero algunas veces falso; 4= Usually true / Por lo general verdadero; 5 =Almost always true / Casi siempre verdadero","eatq_phenx_angry_hit_p"
"eatq_care_p","Integer","","Recommended","Likes taking care of other people. / Le gusta cuidar de otras personas.","1 :: 5","1=Almost always untrue / Casi siempre falso; 2= Usually untrue / Por lo general falso; 3= Sometimes true sometimes untrue / Algunas veces verdadero algunas veces falso; 4= Usually true / Por lo general verdadero; 5 =Almost always true / Casi siempre verdadero","eatq_phenx_care_p"
"eatq_share_p","Integer","","Recommended","Likes to be able to share his/her private thoughts with someone else. / Le gusta poder compartir sus pensamientos privados con otros.","1 :: 5","1=Almost always untrue / Casi siempre falso; 2= Usually untrue / Por lo general falso; 3= Sometimes true sometimes untrue / Algunas veces verdadero algunas veces falso; 4= Usually true / Por lo general verdadero; 5 =Almost always true / Casi siempre verdadero","eatq_phenx_share_p"
"eatq_before_hw_p","Integer","","Recommended","Usually does something fun for awhile before starting her/his homework even though s/he is not supposed to. / Normalmente pasa un rato haciendo algo divertido antes de empezar su tarea aunque se supone que no debe.","5;4;3;2;1","5=Almost always untrue / Casi siempre falso; 4=Usually untrue / Por lo general falso; 3=Sometimes true sometimes untrue / Algunas veces verdadero algunas veces falso; 2=Usually true / Por lo general verdadero; 1= Almost always true / Casi siempre verdadero","eatq_phenx_before_hw_p"
"eatq_concentrate_p","Integer","","Recommended","Finds it easy to really concentrate on a problem. / Le resulta f__cil realmente concentrarse en un problema.","1 :: 5","1=Almost always untrue / Casi siempre falso; 2= Usually untrue / Por lo general falso; 3= Sometimes true sometimes untrue / Algunas veces verdadero algunas veces falso; 4= Usually true / Por lo general verdadero; 5 =Almost always true / Casi siempre verdadero","eatq_phenx_concentrate_p"
